Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,media/CitizenTicket1322-900.png,Matthew Scott for Beltane Fire Society,,BOnFire: Celebrating Beltane 2021 Online,,,,,,,,,,
About this project,,,,"Dear Beltane is a project born out of a yearning for the sharing of stories and memories that is so much part of the Beltane Fire Festival. While we can’t share these stories in person, taking time to sit down and write them out offers a different kind of connection. Writing a physical letter in today’s world, dominated by electronic communication, makes it a physical manifestation of care, and to find one in your letterbox or by your door breaks up the monotony of days spent in lockdown. With this project we hope to restore a sense of physicality, community and history, to celebrate the places that are important to us, and each other.
Now the results of it are displayed in two ways: A digital exhibition to scroll and explore, and a physical map embroidered with all the spots marked by participants, to be kept in the BFS archives.
",17,Hidden,,"Calton Hill, Edinburgh, Scotland",55.955026,-3.182722857,,,,
Coming Together,media/10back.jpg,,,"Weekend Away - the megaphone - three times = tradition - fire - walkthroughs - Beltonia - not a cult - liminal! - the choice - hedge - Surprise!!! - the hill - sacred zippo - Bower - the dance - the club - withies - Charge! - after-after - #NotAtAGOMeeting - Friends<br>
Rob Thorburn BFS 2001-2021
",17,Hidden,,,55.95478874,-3.182326728,,,,
,media/14back.jpg,,,"My memory is on top of Calton Hill<br>
I came to Scotland for the first time in December and everything was so mesmerizing<br>
but the trip to Calton Hill with my boyfriend was truely(sic) magical, it was at dusk we could see the lights from the botanics and the sea, experiencing all the amazing new things I saw in those two weeks can’t beat the memory of standing there looking over a sea of lights while holding the hand of someone I love so much, realizing yes this is the place I’m moving to.<br>
Lumi Mak
",18,Plain,14_gold,,55.95579822,-3.182425753,,,,
,media/2back.jpg,,,"In 1996 I attended the Beltane Fire Festival. I was new to Edinburgh, new to Beltane. The festival found me on a night when I was homesick and feeling sorry for myself. It left me content and connected. In the intervening years I have been observing the pagan feasts, discovering my connection to our earth, our seasons and ‘our’ people. I’m a trained celebrant and often help people reconnect to their lost loved ones in ritual and story. <br>
Blessed Beltane!<br>
Indra
",17,Hidden,,,55.95478874,-3.182326728,,,,
,,,,"Dear Beltane,<br>
The first time I ever went up Calton Hill was after dark, for Beltane 2014, and it permanently disoriented me. Whether in light or darkness, I have never quite managed to orient myself on that one of Edinburgh’s hills, despite a generally quite good sense of direction. I cherish that disorientation.<br>
I’m not really a concert person, but I think I experienced that night what people love about them - the shifting animal of the crowd, the fluid boundary between performance and genuine experience (not, of course, to say that performance isn’t genuine experience). I lost myself there in a way I almost ever have, and I think about that all the time.,<br>
Love, Alex
",17,hidden,,,,,,,,
,media/Torchies_AsierGoikoetxea.jpg,Asier Goikoetxea for Beltane Fire Society,https://www.facebook.com/beltanefiresociety/photos/t.552181716/2175077809176736/?type=3,"1) Torchbearers on the way to the Hill from our getting ready space on the South Side, taking a shortcut through Waverley Station....<br>
Child: (Screams!)<br>
Parent: What!<br>
Child: Mum! Death eaters!<br>
Parent: Don't be silly, Death eaters don't...<br>
[Child pulls Parent's arm, turning her round to see procession of cloaked and painted torchies]<br>
Parent: (Screams!)<br><br>
2) On the Acropolis<br>
Groups of three or four torchbearers in the dark gaps between the pillars. The wind at our backs, the rustle and hub-bub of the crowd below us in front, almost invisible behind the sea of camera flashes. The neidfire bearers pass along the step beneath us, lighting one torch in each group so that we can light each other. As they return to the central gap, the processional drummers step out and form up in front of the right hand torchies. Suddenly, it gets a lot brighter and there's a disturbance amongst the neighbouring torchbearers. I can feel my back getting increasibly hot and see small golden sparks blowing through the smoke, fading to red and disappearing. It was only the fire sculptures behind us. Panic over, we relax and prepare to follow the drums.<br><br>
3) And they're off!<br>
[actually a walkthrough memory]<br>
Following the processionals, almost at the double, we interleave with the stewards and fall in beside the Whites as we leave the D. Suddenly, overcome by the sheer joy of the walkthrough on such a glorious afternoon, I break character and say (a little louder than I intended) ""And as they come up to the first turn, it's May Queen in the lead, May Queen followed by Green Man. May Queen, Green Man, Blue Man coming up the outside...."" I'm not sure if the facepaint quite cracked, but I got A Look from the White to my left.<br><br>
4) Autopilot<br>
[A NON-memory]<br>
It's possible, though, to over practice. One year I remember stepping off the Acropolis and falling into place in the procession - and then nothing at all until entering the Bower.<br><br>
5) Bower bits<br>
(not all the same year)<br>
Standing under a tree by the Bower, not realising that there were audience members above me until I heard the stewards coax them down.<br>
Again by the Bower, a hand appears in front of my face from behind and pops a chocolate-coated strawberry into my mouth. It was delicious, so sweet and so cold.<br>
Bad weather years - Torches are really useful for warming performers whose costumes are mostly paint<br><br>
6) The Fire<br>
[Depending on when we stand down, we'd not always make it to the Fire, but it was always special when we did]<br>As we made our way from Acropolis to Bower for Beltane 2010, with the Moon just past full, we could hear comments from the crowd to our sides or behind us - not just the usual telling / re-invention of the Beltane story, but something  far stranger. Something about a penguin on the Hill? Surely not. And then, when we finally got to the Fire, there it was. An enormous penguin. Or more precisely, someone in a penguin onesie....<br>
",,,,,,,,,,
,media/3back.jpg,,,"11th April, 2021.<br>
Listening to: Stuart MaConie’s Show on BBC6 Music.<br>
Reading: 33 ⅓’s column on In An Aeroplane Over The Sea by Neutral Milk Hotel, authored by Kim Cooper.<br><br>

Hello Dear Beltane!<br>
I have to be honest, choosing a single memory was at time tricky, but I got there eventually :) <br>
For me, the Beltane Fire Festival of 2015 was every bit of a transformative journey. Even though I was on my third festival overall, I started out still feeling relatively new to it all. By the last fortnight of prep though, I felt well and truly home. Came April 30th, things just fell into place with ease. Two months of prep with Photo Point had paid off beautifully. In the 6 years that have followed, I feel like I’ve prospered more than well here in BFS!<br>
Bleu Hope
",18,Plain,,,55.95494884,-3.181855797,,,,
,media/RedsBeasties2015_Bleu_Hope.jpg,Bleu Hope for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/13759/category/92-festival,Reds as photographed by Bleu Hope,,Hidden,,,,,,,,
Anticipation,media/19back.jpg,,,"In our last practise as Whites in 2019, we rehearsed our procession one last time, from beginning to end without stopping or speaking. The hill was thick with fog, with only a few other people on it. They would have seen us performing a silent, precise ritual around the hill: 19 people in white jumpers or shirts, moving in unison, without music or audience, stopping to encircle & honour empty patches of grass. Only we knew what we were celebrating, and we did it with grace, love, and certainty. It was one of the most lovely things I have done.<br>
Daniel
",18,Plain,12_gold,,55.95501893,-3.180830365,,,,
